source_neuron,target_neuron,weight,delay,source_pop,target_pop
51,81,1.000000,1.000000,3,-2
52,81,1.000000,1.000000,3,-2
53,81,1.000000,1.000000,3,-2
54,81,1.000000,1.000000,3,-2
55,82,1.000000,1.000000,4,-2
56,82,1.000000,1.000000,4,-2
57,82,1.000000,1.000000,4,-2
58,82,1.000000,1.000000,4,-2
59,82,1.000000,1.000000,4,-2
60,83,1.000000,1.000000,5,-2
61,84,1.000000,1.000000,6,-2
62,84,1.000000,1.000000,6,-2
63,84,1.000000,1.000000,6,-2
64,84,1.000000,1.000000,6,-2
65,84,1.000000,1.000000,6,-2
66,84,1.000000,1.000000,6,-2
67,84,1.000000,1.000000,6,-2
68,84,1.000000,1.000000,6,-2
69,84,1.000000,1.000000,6,-2
70,84,1.000000,1.000000,6,-2
71,84,1.000000,1.000000,6,-2
72,84,1.000000,1.000000,6,-2
73,84,1.000000,1.000000,6,-2
74,84,1.000000,1.000000,6,-2
75,85,1.000000,1.000000,7,-2
76,85,1.000000,1.000000,7,-2
77,85,1.000000,1.000000,7,-2
